date,twitter_mean_1d,twitter_stdev_1d
2022-03-01,0.14408,0.358285549
2022-03-02,0.18955,0.381565036
2022-03-03,0.13239,0.304115325
2022-03-04,0.12526,0.544259688
2022-03-05,0.30681,0.342899191
2022-03-06,0.13177,0.426402758
2022-03-07,0.31757,0.275580194
2022-03-08,0.11903,0.404394368
2022-03-09,0.20012,0.408627504
2022-03-11,0.1591,0.225001378
2022-03-12,-0.4967,0.10634886
2022-03-13,-0.02526,0.088205204
2022-03-13,0.08903,0.259804794
2022-03-15,0.20332,0.431404383
2022-03-16,0.33372,0.418592835
2022-03-17,0,0
2022-03-18,0.04766,0.483913787
2022-03-19,0.20733,0.331259582
2022-03-20,0.63495,0.050275292
2022-03-21,0.1784,0.52224106
2022-03-22,0.18765,0.3753
2022-03-24,0.09823,0.530050233
2022-03-25,0.26373,0.247898235
2022-03-26,-0.07011,0.332489977
2022-03-27,0.21887,0.312195765
2022-03-28,0.25454,0.323761215
2022-03-29,0.31858,0.342437025
2022-03-30,0.1224,0.268464532
2022-03-31,0.13837,0.5605087
2022-04-01,0.23442,0.34143042
2022-04-03,0.05202,0.38478984
2022-04-06,0.25073,0.322255822
2022-04-07,0.20261,0.325295683
2022-04-08,0.2362,0.341434812
2022-04-09,-0.02977,0.282982635
2022-04-10,-0.09483,0.388435884
2022-04-14,0.21587,0.30530398
2022-04-15,0.32927,0.285153298
2022-04-16,0.28593,0.309885056
2022-04-17,0.31778,0.367464396
2022-04-18,0.27473,0.31606373
2022-04-19,0.0129,0.018243355
2022-04-20,0.2281,0.226758815
2022-04-21,0.01367,0.433553895
2022-04-22,0.1924,0.488960264
2022-04-23,0.02937,0.482850631
2022-04-24,0.19684,0.454191598
2022-04-25,0.14983,0.525634441
2022-04-26,0.19666,0.240463489
2022-04-27,0.21768,0.325252131
2022-04-28,0.28449,0.406278396
2022-04-29,0.12346,0.422011119
2022-04-30,-0.0034,0.465531175
2022-05-01,0.2105,0.420370148
2022-05-02,0.18368,0.349662305
2022-05-03,0.25568,0.280268672
2022-05-04,0.38614,0.312865671
2022-05-06,0.24429,0.373428875
2022-05-07,-0.04756,0.300613744
2022-05-08,0.3057,0.432325086
2022-05-09,0.01982,0.459494103
2022-05-10,0.43523,0.164271673
2022-05-11,0.1523,0.210526602
2022-05-12,0.25301,0.301722732
2022-05-13,-0.09523,0.336688237
2022-05-14,0.13558,0.289305644
2022-05-15,0.11987,0.43500325
2022-05-16,0.21912,0.296439839
2022-05-17,0.25067,0.384795881
2022-05-18,0.15633,0.415755223
2022-05-19,0.21906,0.356967948
2022-05-20,0.16884,0.420938912
2022-05-21,0.10114,0.398132824
2022-05-23,0.268,0.257643034
2022-05-24,0.11751,0.400982233
2022-05-25,0.24821,0.50459899
2022-05-26,0.078,0.395255474
2022-05-27,0.25482,0.367748602
2022-05-28,0.20794,0.358137118
2022-05-29,0.10816,0.378034888
2022-05-30,0.11776,0.449026169
2022-05-31,0.24525,0.309471366
2022-06-01,0.22363,0.397893474
2022-06-02,0.20643,0.377588089
2022-06-03,0.39241,0.399049785
2022-06-04,0.08039,0.397929015
2022-06-05,0.15138,0.251915791
2022-06-06,0.17415,0.402025338
2022-06-07,0.16204,0.385135524
2022-06-08,-0.01728,0.471418267
2022-06-09,0.34184,0.416052755
2022-06-10,-0.02403,0.377083265
2022-06-11,0.30824,0.413499778
2022-06-12,0.16584,0.335864643
2022-06-13,0.24145,0.412327705
2022-06-14,0.10897,0.349407503
2022-06-15,0.13744,0.352119297
2022-06-16,0.29816,0.307428346
2022-06-17,0.31281,0.358550031
2022-06-18,0.2746,0.389021877
2022-06-19,0.347,0.338597896
2022-06-20,0.24919,0.356152106
2022-06-21,0.19032,0.375425787
2022-07-02,0.38157,0.471965139
2022-07-04,0.2038,0.352991955
2022-07-05,0.1699,0.409749753
2022-07-06,0.07229,0.344653497
2022-07-07,0.23181,0.421296734
2022-07-08,-0.00504,0.491178435
2022-07-11,0.04648,0.380641824
2022-07-12,0.18455,0.466896106
2022-07-13,0.27191,0.295680686
2022-07-14,0.31845,0.450356309
2022-07-15,0.16329,0.409928962
2022-07-16,0.16903,0.479664052
2022-07-18,0.21166,0.294823371
2022-07-19,0.13426,0.365593412
2022-07-20,0.34845,0.387787137
2022-07-21,0.22734,0.405567167
2022-07-22,0.18422,0.287795931
2022-07-23,-0.00023,0.289402907
2022-07-24,0.0778,0.332579687
2022-07-25,0.07496,0.424570448
2022-07-26,0.28508,0.344709724
2022-07-27,0.19254,0.35866222
2022-07-29,0.36501,0.382214325
2022-07-30,0.20407,0.292122712
2022-07-31,0.14379,0.335635687
2022-08-01,0.15612,0.372951381
2022-08-02,0.35596,0.270886763
2022-08-04,0.20816,0.369611645
2022-08-05,0.2235,0.387113355
2022-08-06,0.23975,0.330075708
2022-08-07,0.16868,0.220878795
2022-08-08,0.27937,0.483877261
2022-08-09,-0.0603,0.506545444
2022-08-10,0.02295,0.246262477
2022-08-11,-0.01212,0.363436595
2022-08-12,0.03277,0.254491192
2022-08-13,0.13397,0.276559092
2022-08-14,0.1722,0.339490184
2022-08-16,0.5115,0.455841189
2022-08-17,0.09023,0.364233084
2022-08-18,0.16781,0.39900075
2022-08-19,0.18404,0.31268499
2022-08-20,0.29503,0.344447171
2022-08-21,0.36737,0.461403869
2022-08-22,0.41151,0.330300636
2022-08-23,0.12516,0.263513853
2022-08-24,0.22118,0.380957372
2022-08-25,0.07123,0.402412727
2022-08-26,0.04995,0.49258641
2022-08-28,0.25817,0.344634291
2022-08-29,0.27887,0.324874964
2022-08-30,0.2476,0.31957054
2022-08-31,0.19748,0.241914384
2022-09-01,0.29954,0.286829981
2022-09-03,0,0
2022-09-04,0.65533,0.207134843
2022-09-05,0.04995,0.401017423
2022-09-06,0.02695,0.471450783
2022-09-08,0.30802,0.412168402
2022-09-09,0.03209,0.264041678
2022-09-10,0.15484,0.28443869
2022-09-11,0.02542,0.390275303
2022-09-12,0.01904,0.326960133
2022-09-13,0.20786,0.275638835
2022-09-14,0.01336,0.21756941
2022-09-15,0.13912,0.243353138
2022-09-16,0.60525,0.183635631
2022-09-17,0.01872,0.317184926
2022-09-18,0.43412,0.284626504
2022-09-19,0.09259,0.292379989
2022-09-20,0.37603,0.290195667
2022-09-21,0.1684,0.396374542
2022-09-22,0.1244,0.22299025
2022-09-23,-0.08318,0.29703448
2022-09-25,0,0
2022-09-27,0.14857,0.256239158
2022-09-28,0.10601,0.201678519
2022-09-29,0.25233,0.251830535
2022-09-30,0.24487,0.315338396
2022-10-01,0.1289,0.344775134
2022-10-02,0.11858,0.316747004
2022-10-03,0.03226,0.434333928
2022-10-04,0.256,0.636649621
2022-10-05,0.30274,0.269664779
2022-10-06,0.17663,0.355255062
2022-10-07,0.10871,0.374509982
2022-10-08,0.18346,-0.382777178
2022-10-09,0.07626,0.388794311
2022-10-10,0.10565,0.359062488
2022-10-11,0.02612,0.204195665
2022-10-12,0.1949,0.416647542
2022-10-13,0.10249,0.257183765
2022-10-14,-0.00471,0.370705335
2022-10-15,-0.06486,0.538374853
2022-10-16,0.1034,0.259556761
2022-10-17,-0.01475,0.522289018
2022-10-18,0.22501,0.340489246
2022-10-19,0.31678,0.356618211
2022-10-20,0.14887,0.463227219
2022-10-21,0.142,0.409901008
2022-10-22,0.29574,0.412674626
2022-10-23,0.12805,0.22746807
2022-10-24,0.19479,0.44225921
2022-10-25,0.12948,0.250971847
2022-10-26,0.27346,0.337770155
2022-10-27,0.25688,0.415152571
2022-10-28,0.16988,0.343493364
2022-10-29,0.55345,0.318669564
2022-10-30,0.07541,0.300217053
2022-10-31,0.0762,0.397204884
2022-11-01,-0.0113,0.370684307
2022-11-02,0.13362,0.396152992
2022-11-03,0.30639,0.254118934
2022-11-04,0.09327,0.442810281
2022-11-05,0.17805,0.302919206
2022-11-06,0.02174,0.435066703
2022-11-07,0.12599,0.314726482
2022-11-08,0.23316,0.348534842
2022-11-09,0.24051,0.443585576
2022-11-10,0.24034,0.347754525